Symbol,Strategy Name,Name of security,Status,Action,Quantity|Face Value,Price,Timing,Fill Price,Fill Price is Average,Time and Date(ET),Last Activity Date(ET),Reinvest Capital Gains,Order Number
NVDA 02/21/2025 160.00 C,,NVIDIA CORP 02/21/2025 $160 Call,Canceled,Buy to Open,10 Contracts,Limit $3.55,Day,-,No,2:35 PM 11/27/2024,4:05 PM 11/27/2024,,398714680500
ASTS 02/21/2025 30.00 C,,AST SPACEMOBILE INC 02/21/2025 $30 Call,Canceled,Buy to Open,10 Contracts,Limit $2.01,Day,-,No,1:56 PM 11/26/2024,4:05 PM 11/26/2024,,142640380500
CELH 02/21/2025 35.00 C,,CELSIUS HLDGS INC 02/21/2025 $35 Call,Canceled,Buy to Open,10 Contracts,Limit $1.63,Day,-,No,3:58 PM 11/26/2024,4:05 PM 11/26/2024,,357618380500
CPRI 06/20/2025 40.00 C,,CAPRI HLDGS LTD 06/20/2025 $40 Call,Canceled,Buy to Open,10 Contracts,Limit $0.45,Day,-,No,3:51 PM 11/26/2024,4:05 PM 11/26/2024,,68728380500
CELH 02/21/2025 35.00 C,,CELSIUS HLDGS INC 02/21/2025 $35 Call,Canceled,Buy to Open,10 Contracts,Limit $1.66,Day,-,No,3:56 PM 11/26/2024,3:58 PM 11/26/2024,,91298380500
WBA 04/17/2025 5.00 P,,WALGREENS BOOTS ALLIANCE INC 04/17/2025 $5 Put,Canceled,Sell to Close,10 Contracts,Limit $0.13,Day,-,No,12:16 PM 11/25/2024,4:05 PM 11/25/2024,,894490970500
NVDA 02/21/2025 140.00 C,,NVIDIA CORP 02/21/2025 $140 Call,Canceled,Buy to Open,2 Contracts,Limit $12.13,Day,-,No,11:31 AM 11/25/2024,11:32 AM 11/25/2024,,963648870500
PLTR 03/21/2025 80.00 C,,PALANTIR TECHNOLOGIES INC 03/21/2025 $80 Call,Canceled,Sell to Close,13 Contracts,Limit $5.32,Day,-,No,11:03 AM 11/25/2024,11:08 AM 11/25/2024,,848066870500
PLTR 03/21/2025 80.00 C,,PALANTIR TECHNOLOGIES INC 03/21/2025 $80 Call,Canceled,Sell to Close,13 Contracts,Limit $5.25,Day,-,No,10:37 AM 11/25/2024,10:39 AM 11/25/2024,,566305870500
GOOGL,Vertical Call Spread.,,,,,,,-,,,,,
GOOGL 02/21/2025 170.00 C,,,,Buy to Open,3 Contracts,,,,No,11:59 AM 11/22/2024,4:05 PM 11/22/2024,,
GOOGL 02/21/2025 175.00 C,,ALPHABET INC 02/21/2025 $175 Call,Canceled,Sell to Open,3 Contracts,Debit $1.85,Day,,No,11:59 AM 11/22/2024,4:05 PM 11/22/2024,,217436470500
SPY 01/17/2025 600.00 C,,SPDR S&P 500 01/17/2025 $600 Call,Canceled,Buy to Open,10 Contracts,Limit $10.00,Day,-,No,1:00 PM 11/22/2024,1:34 PM 11/22/2024,,975521570500
